name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,total_enrollment,ivy_league,tuition_avg
Dordt College,Iowa,IA,Private,4 Year,9590,30870,40460,30870,40460,8,Iowa,51000,89600,57,17,1459,0,40460
Drake University,Iowa,IA,Private,4 Year,10528,41396,51924,41396,51924,2,Iowa,52800,99900,49,7,5062,0,51924
Drew University,New Jersey,NJ,Private,4 Year,14108,39500,53608,39500,53608,16,New-Jersey,52800,95000,37,16,2113,0,53608
Drexel University,Pennsylvania,PA,Private,4 Year,14079,53279,67358,53279,67358,9,Pennsylvania,61700,114800,47,28,26359,0,67358
Drury University,Missouri,MO,Private,4 Year,8096,28365,36461,28365,36461,19,Missouri,42600,79400,60,12,4215,0,36461
Duke University,North Carolina,NC,Private,4 Year,15178,55695,70873,55695,70873,1,North-Carolina,71100,132100,50,26,15856,0,70873
East Carolina University,North Carolina,NC,Public,4 Year,9606,7188,16794,23465,33071,11,North-Carolina,48400,85400,55,11,27511,0,24932.5
East Tennessee State University,Tennessee,TN,Public,4 Year,8472,9277,17749,28459,36931,22,Tennessee,43700,77300,57,8,14434,0,27340
Eastern Connecticut State University,Connecticut,CT,Public,4 Year,13560,11356,24916,22596,36156,17,Connecticut,49200,87800,43,14,5287,0,30536
Eastern Kentucky University,Kentucky,KY,Public,4 Year,9018,9296,18314,19074,28092,11,Kentucky,45600,80700,56,5,16305,0,23203
Eastern Michigan University,Michigan,MI,Public,4 Year,9854,13959,23813,13959,23813,18,Michigan,47300,86700,50,6,22401,0,23813
Eastern Oregon University,Oregon,OR,Public,4 Year,10040,8679,18719,20739,30779,23,Oregon,44000,73900,56,5,3653,0,24749
Eastern Washington University,Washington,WA,Public,4 Year,12793,7323,20116,24444,37237,20,Washington,49500,87500,52,17,13453,0,28676.5
Eckerd College,Florida,FL,Private,4 Year,12588,44540,57128,44540,57128,17,Florida,49200,88400,52,25,2083,0,57128
Edgewood College,Wisconsin,WI,Private,4 Year,11020,29500,40520,29500,40520,15,Wisconsin,49500,87500,54,5,2980,0,40520
Elon University,North Carolina,NC,Private,4 Year,12230,35319,47549,35319,47549,6,North-Carolina,53600,93700,43,7,6483,0,47549
Emory University,Georgia,GA,Private,4 Year,14456,51306,65762,51306,65762,2,Georgia,62000,110800,44,20,14769,0,65762
Emporia State University,Kansas,KS,Public,4 Year,8912,6758,15670,20675,29587,19,Kansas,43500,78000,60,9,6114,0,22628.5
Erskine College,South Carolina,SC,Private,4 Year,10900,34560,45460,34560,45460,12,South-Carolina,43500,78000,57,28,753,0,45460
Fairfield University,Connecticut,CT,Private,4 Year,14710,48350,63060,48350,63060,4,Connecticut,62300,116900,41,17,5123,0,63060
Fairmont State University,West Virginia,WV,Public,4 Year,9004,7514,16518,16324,25328,14,West-Virginia,42900,74100,53,7,4035,0,20923
Faulkner University,Alabama,AL,Private,4 Year,7750,21690,29440,21690,29440,21,Alabama,39400,71300,61,2,3335,0,29440
Felician University,New Jersey,NJ,Private,4 Year,12880,34315,47195,34315,47195,11,New-Jersey,53200,98200,51,10,1953,0,47195
Ferris State University,Michigan,MI,Public,4 Year,9894,12630,22524,12630,22524,17,Michigan,50000,89300,50,8,14600,0,22524
Ferrum College,Virginia,VA,Private,4 Year,11500,34175,45675,34175,45675,25,Virginia,43000,80600,54,6,1451,0,45675
Fisk University,Tennessee,TN,Private,4 Year,10790,21480,32270,21480,32270,11,Tennessee,45300,83600,53,39,772,0,32270
Florida Atlantic University,Florida,FL,Public,4 Year,11896,6039,17935,21595,33491,11,Florida,49400,91200,51,15,30297,0,25713
Florida Institute of Technology,Florida,FL,Private,4 Year,12880,41850,54730,41850,54730,3,Florida,58300,105400,53,48,6393,0,54730
